Domain,NC,AA,GC
Bacteria,0.87,0.821557,0.5360991
Bacteria,0.9785,1.01769,0.46103613
Bacteria,0.956,0.97323,0.35187686
Bacteria,0.9835,0.977334,0.4668773
Bacteria,1.002,1.058,0.43368268
Bacteria,0.9785,1.00113,0.43059711
Bacteria,0.947,0.966487,0.40682554
Bacteria,0.9535,0.963006,0.36221868
Bacteria,0.9495,0.967517,0.33475764
Bacteria,0.908,0.899751,0.34238456
Bacteria,0.979,0.976476,0.4889748
Bacteria,1.091,1.60838,0.63636363
Bacteria,0.9115,0.904665,0.33173406
Bacteria,0.979,0.974612,0.50768732
Bacteria,0.903,0.951589,0.28382129
Bacteria,1.0625,1.2966,0.55388471
Bacteria,0.908,0.908231,0.33403266
Bacteria,0.871,0.966049,0.23159114
Bacteria,0.9925,1.02777,0.4184068
Bacteria,0.996,1.00804,0.43023474
Bacteria,1.0025,1.06722,0.42306293
Bacteria,1.06,1.49008,0.55737704
Bacteria,0.988,1.0146,0.42781896
Bacteria,0.835,0.803254,0.56229046
Bacteria,0.9975,0.992955,0.50162612
Bacteria,0.9735,1.00897,0.36760563
Bacteria,0.967,1.00451,0.38232028
Bacteria,0.9215,0.944627,0.35465409
Bacteria,0.95,0.95858,0.36556005
Bacteria,0.9595,0.966841,0.38274016
Bacteria,0.9615,0.964867,0.38727231
Bacteria,0.9435,1.01269,0.37852216
Bacteria,0.9915,1.0157,0.41666666
Bacteria,0.9645,1.01818,0.36497847
Bacteria,1.0125,1.02851,0.536
Bacteria,0.99,1.01535,0.41718995
Bacteria,1.001,1.0265,0.53382624
Bacteria,0.921,0.953246,0.29070752
Bacteria,0.9845,0.970333,0.51171967
Bacteria,0.94,0.932533,0.43817012
Bacteria,0.9995,1.00786,0.47235524
Bacteria,0.9375,0.96187,0.46905601
Bacteria,0.9745,0.981786,0.36389331
Bacteria,0.879,0.844964,0.47558431
Bacteria,0.9495,0.97317,0.41384916
Bacteria,0.8785,0.867031,0.51734392
Bacteria,0.9595,0.960925,0.45267206
Bacteria,0.892,0.923247,0.25912464
Bacteria,0.9555,0.9549,0.48030227
Bacteria,1.0005,1.05889,0.43064633
Bacteria,0.948,0.948952,0.43812817
Bacteria,0.938,0.953222,0.4276887
Bacteria,0.953,0.974437,0.34725397
Bacteria,0.952,0.92951,0.55848954
Bacteria,1.009,1.03585,0.50711077
Bacteria,0.894,0.920694,0.27401778
Bacteria,0.95,1.03526,0.32051572
Bacteria,0.991,1.02194,0.41140096
Bacteria,1.0805,1.45195,0.5
Bacteria,0.867,0.913681,0.39514599
Bacteria,1.005,1.0357,0.50725163
Bacteria,1.003,1.05921,0.43410852
Bacteria,0.9775,1.02199,0.39853958
Bacteria,1.0585,1.55548,0.54874651
Bacteria,0.9975,1.06826,0.41949616
Bacteria,0.8895,0.923917,0.25306318
Bacteria,1.0005,1.07542,0.42515404
Bacteria,0.8865,0.923637,0.25008169
Bacteria,0.9765,0.992192,0.39449541
Bacteria,0.973,0.969578,0.49857737
Bacteria,0.988,1.29543,0.39136302
Bacteria,0.9885,1.03681,0.44477881
Bacteria,0.968,0.984406,0.37659688
Bacteria,0.9215,0.92059,0.36380195
Bacteria,0.957,0.972792,0.35460269
Bacteria,0.9795,1.00925,0.39273263
