Domain,DNA,AA,GC,L_DNA,L_AA
Viral,0.97,0.941703,0.57804912,0.0014121028,0.001184185
Viral,1.0705,1.48354,0.55492957,8.8841e-06,5.6836e-06
Viral,0.8495,0.904842,0.25281803,0.0008081314,0.0003143543
Viral,0.9795,0.951889,0.55202159,0.0008993503,0.0006901976
Viral,0.991,0.959974,0.54300977,0.0010962278,0.0008376792
Viral,0.99,1.01025,0.44105984,0.0001388428,8.62712e-05
Viral,0.993,1.00457,0.45117845,0.0001932488,0.0001153023
Viral,0.9775,0.989461,0.40736694,0.00016034,8.56861e-05
Viral,0.995,1.02393,0.41441274,0.000135089,7.6506e-05
Viral,0.956,0.915167,0.5748241,0.0058972172,0.0048587009
Viral,0.9935,1.0104,0.4325023,0.0001355144,7.82194e-05
Viral,0.978,1.1579,0.39925925,3.37848e-05,1.60339e-05
Viral,0.995,1.00287,0.45662272,0.0001993301,0.0001233401
Viral,0.953,1.00109,0.34499632,0.0002045605,9.28046e-05
Viral,0.9715,0.999235,0.38042509,0.0001966273,0.0001003828
Viral,0.9315,0.908906,0.63330362,0.0012074172,0.0011148532
Viral,0.993,0.998066,0.46120481,0.0002077137,0.0001341641
Viral,0.9265,0.948951,0.45791114,0.0001284321,8.36105e-05
Viral,1.026,1.14296,0.56550951,2.2348e-05,1.6424e-05
Viral,0.9485,0.986203,0.33724832,0.0003728836,0.0001684608
Viral,0.98,1.12803,0.39748334,3.38098e-05,1.95444e-05
Viral,0.9705,1.16127,0.37020648,3.39349e-05,1.61872e-05
Viral,0.9755,1.20504,0.37322363,3.34594e-05,1.30528e-05
Viral,0.983,0.951835,0.57318364,0.0001181466,9.74713e-05
Viral,0.949,0.927651,0.47227733,0.0029893505,0.0019231948
Viral,0.903,0.867311,0.4244124,0.0039885535,0.0024050488
Viral,0.914,0.93286,0.2983128,0.0033714937,0.0014161547
Viral,0.9605,0.996388,0.36713922,0.0002065375,0.0001186038
Viral,0.9835,0.976391,0.47090403,0.0010441743,0.000661891
Viral,1.0075,1.06232,0.46201311,6.48918e-05,3.92978e-05
Viral,0.957,0.975519,0.35161815,0.0007833309,0.0003826135
Viral,0.973,1.00169,0.36359051,0.0001985042,8.98653e-05
Viral,1.038,1.35695,0.59033078,9.8351e-06,7.411e-06
Viral,0.9875,0.976791,0.47023185,0.0007641862,0.0004684111
